State,Group, Electoral Votes
ALABAMA,Trump,9
ALASKA,Trump,3
ARIZONA,Biden,11
ARKANSAS,Trump,6
CALIFORNIA,Biden,55
COLORADO,Biden,9
CONNECTICUT,Biden,7
DELAWARE,Biden,3
DISTRICT OF COLUMBIA,Biden,3
FLORIDA,Trump,29
GEORGIA,Biden,16
HAWAII,Biden,4
IDAHO,Trump,4
ILLINOIS,Biden,20
INDIANA,Trump,11
IOWA,Trump,6
KANSAS,Trump,6
KENTUCKY,Trump,8
LOUISIANA,Trump,8
MAINE,Biden,3
MARYLAND,Biden,10
MASSACHUSETTS,Biden,11
MICHIGAN,Biden,16
MINNESOTA,Biden,10
MISSISSIPPI,Trump,6
MISSOURI,Trump,10
MONTANA,Trump,3
NEBRASKA,Trump,4
NEVADA,Biden,6
NEW HAMPSHIRE,Biden,4
NEW JERSEY,Biden,14
NEW MEXICO,Biden,5
NEW YORK,Biden,29
NORTH CAROLINA,Trump,15
NORTH DAKOTA,Trump,3
OHIO,Trump,18
OKLAHOMA,Trump,7
OREGON,Biden,7
PENNSYLVANIA,Biden,20
RHODE ISLAND,Biden,4
SOUTH CAROLINA,Trump,9
SOUTH DAKOTA,Trump,3
TENNESSEE,Trump,11
TEXAS,Trump,38
UTAH,Trump,6
VERMONT,Biden,3
VIRGINIA,Biden,13
WASHINGTON,Biden,12
WEST VIRGINIA,Trump,5
WISCONSIN,Biden,10
WYOMING,Trump,3