"Father_height","Mother_height","Child_height","gender"
"78.50","67.00","73.20","1"
"78.50","67.00","69.20","0"
"78.50","67.00","69.00","0"
"78.50","67.00","69.00","0"
"75.50","66.50","73.50","1"
"75.50","66.50","72.50","1"
"75.50","66.50","65.50","0"
"75.50","66.50","65.50","0"
"75.00","64.00","71.00","1"
"75.00","64.00","68.00","0"
"75.00","64.00","70.50","1"
"75.00","64.00","68.50","1"
"75.00","64.00","67.00","0"
"75.00","64.00","64.50","0"
"75.00","64.00","63.00","0"
"75.00","58.50","72.00","1"
"75.00","58.50","69.00","1"
"75.00","58.50","68.00","1"
"75.00","58.50","66.50","0"
"75.00","58.50","62.50","0"
"75.00","58.50","62.50","0"
"74.00","68.00","69.50","0"
"74.00","68.00","76.50","1"
"74.00","68.00","74.00","1"
"74.00","68.00","73.00","1"
"74.00","68.00","73.00","1"
"74.00","68.00","70.50","0"
"74.00","68.00","64.00","0"
"74.00","66.50","70.50","0"
"74.00","66.50","68.00","0"
"74.00","66.50","66.00","0"
"74.50","66.00","66.00","0"
"74.00","65.50","65.50","0"
"74.00","62.00","74.00","1"
"74.00","62.00","70.00","1"
"74.00","62.00","68.00","0"
"74.00","62.00","67.00","0"
"74.00","62.00","67.00","0"
"74.00","62.00","66.00","0"
"74.00","62.00","63.50","0"
"74.00","62.00","63.00","0"
"74.00","61.00","65.00","0"
"73.00","67.00","71.00","1"
"73.00","67.00","62.00","0"
"73.00","67.00","68.00","1"
"73.00","67.00","67.00","1"
"73.00","66.50","71.00","1"
"73.00","66.50","70.50","1"
"73.00","66.50","66.70","0"
"73.00","65.00","72.00","1"
"73.00","65.00","70.50","1"
"73.00","65.00","70.20","1"
"73.00","65.00","70.20","1"
"73.00","65.00","69.20","1"
"73.00","65.00","68.70","0"
"73.00","65.00","66.50","0"
"73.00","65.00","64.50","0"
"73.00","65.00","63.50","0"
"73.00","64.50","74.00","1"
"73.00","64.50","73.00","1"
"73.00","64.50","71.50","1"
"73.00","64.50","62.50","1"
"73.00","64.50","66.50","0"
"73.00","64.50","62.30","0"
"73.00","64.00","66.00","0"
"73.00","64.00","64.50","0"
"73.00","64.00","64.00","0"
"73.20","63.00","62.70","0"
"72.70","69.00","73.20","1"
"72.70","69.00","73.00","1"
"72.70","69.00","72.70","1"
"72.70","69.00","70.00","0"
"72.70","69.00","69.00","0"
"72.70","69.00","68.50","0"
"72.70","69.00","68.00","0"
"72.70","69.00","66.00","0"
"72.00","68.00","73.00","1"
"72.00","68.00","68.50","0"
"72.00","68.00","68.00","0"
"72.00","67.00","73.00","1"
"72.00","67.00","71.00","1"
"72.00","67.00","67.00","0"
"72.00","65.00","74.20","1"
"72.00","65.00","70.50","1"
"72.00","65.00","69.50","1"
"72.00","65.00","66.00","0"
"72.00","65.00","65.50","0"
"72.00","65.00","65.00","0"
"72.00","65.00","65.00","0"
"72.00","65.50","65.50","0"
"72.00","64.00","66.00","0"
"72.00","64.00","63.00","0"
"72.00","63.00","70.50","1"
"72.00","63.00","70.50","1"
"72.00","63.00","69.00","1"
"72.00","63.00","65.00","0"
"72.00","63.00","63.00","0"
"72.00","63.00","69.00","1"
"72.00","63.00","67.00","1"
"72.00","63.00","63.00","0"
"72.00","63.00","73.00","1"
"72.00","63.00","67.00","1"
"72.00","63.00","70.50","0"
"72.00","63.00","70.00","0"
"72.00","63.00","66.50","0"
"72.00","63.00","63.00","0"
"72.50","63.50","67.50","0"
"72.50","63.50","67.20","0"
"72.50","63.50","66.70","0"
"72.00","62.00","64.00","0"
"72.50","62.00","71.00","1"
"72.50","62.00","70.00","1"
"72.50","62.00","70.00","1"
"72.50","62.00","66.00","0"
"72.50","62.00","65.00","0"
"72.50","62.00","65.00","0"
"72.00","62.00","74.00","1"
"72.00","62.00","72.00","1"
"72.00","62.00","69.00","1"
"72.00","62.00","67.50","0"
"72.00","62.00","63.50","0"
"72.00","62.00","72.00","1"
"72.00","62.00","71.50","1"
"72.00","62.00","71.50","1"
"72.00","62.00","70.00","1"
"72.00","62.00","68.00","0"
"72.00","61.00","65.70","0"
"71.00","69.00","78.00","1"
"71.00","69.00","74.00","1"
"71.00","69.00","73.00","1"
"71.00","69.00","72.00","1"
"71.00","69.00","67.00","0"
"71.00","67.00","73.20","1"
"71.00","67.00","73.00","1"
"71.00","67.00","69.00","1"
"71.00","67.00","67.00","0"
"71.00","66.00","70.00","1"
"71.00","66.00","67.00","0"
"71.00","66.00","67.00","0"
"71.00","66.00","66.50","0"
"71.00","66.00","70.00","1"
"71.00","66.00","69.00","1"
"71.00","66.00","68.50","1"
"71.00","66.00","66.00","0"
"71.00","66.00","64.50","0"
"71.00","66.00","63.00","0"
"71.00","66.00","71.00","1"
"71.00","66.00","67.00","0"
"71.00","66.00","76.00","1"
"71.00","66.00","72.00","1"
"71.00","66.00","71.00","1"
"71.00","66.00","66.00","1"
"71.00","66.00","66.00","0"
"71.70","65.50","70.50","1"
"71.00","65.50","72.00","1"
"71.00","65.50","72.00","1"
"71.00","65.50","71.00","1"
"71.00","65.50","69.00","1"
"71.00","65.50","66.00","0"
"71.00","65.50","65.00","0"
"71.50","65.50","73.00","1"
"71.50","65.50","65.20","0"
"71.50","65.00","68.50","1"
"71.50","65.00","67.70","1"
"71.00","65.00","68.00","1"
"71.00","65.00","68.00","1"
"71.00","65.00","62.00","0"
"71.00","64.00","68.00","0"
"71.00","64.00","68.00","0"
"71.00","64.00","67.50","0"
"71.00","64.00","66.50","0"
"71.00","64.00","66.50","0"
"71.00","64.00","66.00","0"
"71.00","64.00","65.50","0"
"71.00","64.00","65.00","0"
"71.70","64.50","72.00","1"
"71.70","64.50","71.00","1"
"71.70","64.50","70.50","1"
"71.70","64.50","67.00","0"
"71.00","64.00","68.00","1"
"71.00","64.00","68.00","1"
"71.00","64.00","68.00","1"
"71.50","64.50","72.00","1"
"71.50","64.50","71.00","1"
"71.50","64.50","70.00","1"
"71.50","64.50","66.00","0"
"71.50","64.50","64.50","0"
"71.50","64.50","64.50","0"
"71.50","64.50","62.00","0"
"71.00","64.50","73.00","1"
"71.00","64.50","62.00","0"
"71.20","63.00","67.50","0"
"71.20","63.00","64.50","0"
"71.00","63.50","71.00","1"
"71.00","63.50","67.00","1"
"71.00","63.50","66.00","0"
"71.00","63.50","65.00","0"
"71.00","63.50","63.50","0"
"71.00","63.00","71.00","1"
"71.00","63.00","70.00","1"
"71.00","63.00","70.00","1"
"71.00","63.00","64.00","1"
"71.00","63.00","65.00","0"
"71.00","63.00","65.00","0"
"71.00","63.00","64.00","0"
"71.00","63.00","63.00","0"
"71.00","63.00","63.00","0"
"71.00","63.00","71.00","1"
"71.00","63.00","71.00","1"
"71.00","63.00","70.00","1"
"71.00","63.00","63.50","0"
"71.00","62.00","71.00","1"
"71.00","62.00","70.00","1"
"71.00","62.00","64.50","0"
"71.00","62.00","62.50","0"
"71.00","62.00","61.50","0"
"71.00","62.00","72.00","1"
"71.00","62.00","70.50","1"
"71.00","62.00","70.50","1"
"71.00","62.00","64.50","0"
"71.00","62.00","60.00","0"
"71.00","62.50","70.00","1"
"71.00","62.50","64.00","0"
"71.00","62.50","64.00","0"
"71.00","62.50","64.00","0"
"71.00","62.50","62.50","0"
"71.00","62.00","70.50","1"
"71.00","62.00","70.00","1"
"71.00","62.00","69.00","1"
"71.00","62.00","69.00","1"
"71.00","62.00","66.00","1"
"71.00","62.00","64.50","0"
"71.00","62.00","64.00","0"
"71.00","61.00","62.00","0"
"71.00","58.00","71.50","1"
"71.00","58.00","69.00","1"
"70.00","69.00","71.00","1"
"70.00","69.00","70.00","1"
"70.00","69.00","69.00","1"
"70.00","69.00","69.00","0"
"70.00","69.00","70.00","1"
"70.00","69.00","68.70","1"
"70.00","69.00","68.00","0"
"70.00","69.00","66.00","0"
"70.00","69.00","64.00","0"
"70.00","69.00","62.00","0"
"70.00","68.00","75.00","1"
"70.00","67.00","70.00","1"
"70.00","67.00","69.00","1"
"70.00","67.00","66.00","0"
"70.00","67.00","64.00","0"
"70.00","67.00","60.00","0"
"70.00","67.00","67.50","0"
"70.00","66.50","73.00","1"
"70.00","66.50","72.00","1"
"70.00","66.50","72.00","1"
"70.00","66.50","66.50","1"
"70.00","66.50","69.20","0"
"70.00","66.50","67.20","0"
"70.00","66.50","66.50","0"
"70.00","66.50","66.00","0"
"70.00","66.50","66.00","0"
"70.00","66.50","64.20","0"
"70.00","66.50","63.70","0"
"70.50","65.00","72.00","1"
"70.50","65.00","70.20","1"
"70.50","65.00","69.00","1"
"70.50","65.00","68.50","1"
"70.50","65.00","68.00","0"
"70.50","65.00","65.00","0"
"70.50","65.00","61.50","0"
"70.50","65.00","61.00","0"
"70.50","65.00","61.00","0"
"70.00","65.00","73.00","1"
"70.00","65.00","72.00","1"
"70.00","65.00","70.50","1"
"70.00","65.00","65.00","1"
"70.00","65.00","65.00","1"
"70.00","65.00","64.50","0"
"70.00","65.00","63.00","0"
"70.00","65.00","62.00","0"
"70.00","65.00","67.00","1"
"70.00","65.00","65.00","1"
"70.00","65.00","64.50","0"
"70.00","65.00","62.50","0"
"70.00","65.00","62.50","0"
"70.00","65.00","70.00","1"
"70.00","65.00","70.00","1"
"70.00","65.00","67.00","0"
"70.00","65.00","65.00","0"
"70.00","65.00","65.00","0"
"70.00","65.00","63.00","0"
"70.00","65.00","79.00","1"
"70.00","65.00","75.00","1"
"70.00","65.00","71.00","1"
"70.00","65.00","69.00","0"
"70.00","65.00","67.00","0"
"70.00","65.00","65.70","0"
"70.00","65.00","62.00","0"
"70.00","65.00","73.00","1"
"70.00","65.00","72.50","1"
"70.00","65.00","65.00","0"
"70.00","65.00","69.00","1"
"70.00","65.00","69.00","1"
"70.00","64.70","72.00","1"
"70.00","64.70","70.00","1"
"70.00","64.70","68.70","1"
"70.00","64.70","66.50","0"
"70.00","64.70","65.50","0"
"70.00","64.70","64.70","0"
"70.00","64.70","64.50","0"
"70.00","64.00","70.70","1"
"70.00","64.00","70.00","1"
"70.00","64.00","68.00","1"
"70.00","64.00","67.00","1"
"70.00","64.00","66.00","1"
"70.00","64.00","65.00","1"
"70.00","64.00","67.00","0"
"70.00","64.00","70.00","1"
"70.00","64.00","68.00","1"
"70.00","64.00","66.70","1"
"70.00","64.00","65.50","0"
"70.00","64.20","72.00","1"
"70.00","64.20","70.00","1"
"70.00","64.20","62.50","0"
"70.00","64.20","61.20","0"
"70.00","64.20","60.10","0"
"70.50","64.00","74.00","1"
"70.50","64.00","69.50","1"
"70.50","64.00","69.00","1"
"70.50","64.00","68.00","1"
"70.50","64.00","68.00","1"
"70.50","64.00","68.00","1"
"70.50","64.00","65.50","0"
"70.50","64.00","65.00","0"
"70.50","64.50","60.00","0"
"70.00","64.00","68.00","1"
"70.00","64.00","65.00","0"
"70.00","64.00","64.00","0"
"70.00","64.00","62.00","0"
"70.00","64.00","71.00","1"
"70.00","64.00","70.00","1"
"70.00","64.00","70.00","1"
"70.00","64.00","70.00","1"
"70.00","64.00","69.50","1"
"70.00","64.00","68.50","1"
"70.00","64.00","69.00","0"
"70.00","64.00","65.00","0"
"70.00","64.00","64.00","0"
"70.00","63.70","70.00","1"
"70.00","63.70","67.00","1"
"70.00","63.70","65.50","1"
"70.00","63.70","63.70","0"
"70.00","63.70","63.20","0"
"70.00","63.70","62.50","0"
"70.00","63.70","62.20","0"
"70.00","63.70","61.00","0"
"70.50","63.00","70.00","1"
"70.50","63.00","68.50","1"
"70.50","63.00","65.50","0"
"70.50","63.00","63.50","0"
"70.50","63.00","72.50","1"
"70.50","63.00","69.00","1"
"70.50","63.00","67.00","1"
"70.50","63.00","64.50","0"
"70.50","63.00","64.00","0"
"70.00","63.50","71.00","1"
"70.00","63.50","67.50","1"
"70.00","63.50","67.50","0"
"70.00","63.50","63.50","0"
"70.00","63.00","68.00","1"
"70.00","63.00","67.00","1"
"70.00","63.00","63.70","0"
"70.00","63.00","62.00","0"
"70.00","63.00","70.00","1"
"70.00","63.00","66.50","1"
"70.00","63.00","62.00","0"
"70.00","63.00","61.00","0"
"70.50","62.00","72.00","1"
"70.50","62.00","70.00","1"
"70.50","62.00","69.50","1"
"70.50","62.00","69.50","1"
"70.50","62.00","68.00","1"
"70.50","62.00","65.00","0"
"70.50","62.00","64.00","0"
"70.50","62.00","63.00","0"
"70.30","62.70","70.70","1"
"70.30","62.70","69.70","1"
"70.30","62.70","69.20","1"
"70.30","62.70","65.20","1"
"70.30","62.70","64.00","0"
"70.30","62.70","63.50","0"
"70.30","62.70","63.20","0"
"70.50","62.00","72.00","1"
"70.50","62.00","72.00","1"
"70.50","62.00","60.00","0"
"70.00","61.00","71.20","1"
"70.00","61.00","67.00","1"
"70.00","60.00","67.00","1"
"70.00","60.00","64.50","1"
"70.00","60.00","65.00","0"
"70.00","60.00","63.00","0"
"70.00","60.00","65.00","0"
"70.00","60.00","65.00","0"
"70.00","58.50","71.50","1"
"70.00","58.50","64.50","1"
"70.00","58.50","63.00","0"
"70.00","58.00","72.00","1"
"70.00","58.00","66.00","1"
"70.00","58.00","66.00","0"
"70.00","58.00","65.00","0"
"70.00","58.00","63.00","0"
"69.00","68.50","75.00","1"
"69.00","68.50","71.00","1"
"69.00","68.50","70.00","1"
"69.00","68.50","66.00","0"
"69.00","68.50","66.00","0"
"69.00","68.50","65.50","0"
"69.00","68.50","65.00","0"
"69.00","68.50","65.00","0"
"69.00","68.50","64.00","0"
"69.00","68.50","64.00","0"
"69.00","67.00","64.00","0"
"69.00","66.00","73.00","1"
"69.00","66.00","72.00","1"
"69.00","66.00","71.70","1"
"69.00","66.00","71.50","1"
"69.00","66.00","65.50","0"
"69.00","66.00","65.00","0"
"69.00","66.00","62.70","0"
"69.00","66.00","62.50","0"
"69.00","66.00","71.20","1"
"69.00","66.00","71.00","1"
"69.00","66.00","70.00","1"
"69.00","66.70","75.00","1"
"69.00","66.70","74.00","1"
"69.00","66.70","72.00","1"
"69.00","66.70","68.50","1"
"69.00","66.00","70.00","1"
"69.00","66.00","68.50","1"
"69.00","66.00","68.00","1"
"69.00","66.00","65.00","0"
"69.00","66.00","63.00","0"
"69.00","66.00","62.50","0"
"69.00","66.50","73.00","1"
"69.00","66.50","71.00","1"
"69.00","66.50","70.50","1"
"69.00","66.50","70.50","1"
"69.00","66.50","67.00","1"
"69.00","66.50","66.00","1"
"69.00","66.50","61.00","0"
"69.50","66.50","70.50","1"
"69.50","66.50","67.50","1"
"69.50","66.50","64.50","0"
"69.50","66.50","64.00","0"
"69.00","66.50","71.00","1"
"69.00","66.50","68.50","0"
"69.00","66.50","67.50","0"
"69.00","66.50","66.00","0"
"69.00","66.50","63.00","0"
"69.00","66.50","63.00","0"
"69.50","66.00","71.00","1"
"69.50","66.00","71.00","1"
"69.50","66.00","70.50","1"
"69.50","66.00","70.50","1"
"69.50","66.00","66.50","0"
